/Users/gexin/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-02 08:33:22,764 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:33:22,764 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:33:22,764 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:33:22,764 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:33:22,764 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:33:22,764 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:38:22,908 - __main__ - INFO - [2026-03-02 08:38:22] 开始舆情数据采集...
2026-03-02 08:38:22,910 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:38:22,910 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:38:22,910 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 08:38:22,911 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:38:22,911 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:38:22,911 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:38:22,911 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:38:22,911 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:38:22,911 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:43:23,055 - __main__ - INFO - [2026-03-02 08:43:23] 开始舆情数据采集...
2026-03-02 08:43:23,058 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:43:23,058 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:43:23,058 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 08:43:23,058 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:43:23,058 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:43:23,058 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:43:23,058 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:43:23,058 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:43:23,058 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:48:23,205 - __main__ - INFO - [2026-03-02 08:48:23] 开始舆情数据采集...
2026-03-02 08:48:23,207 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:48:23,207 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:48:23,207 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 08:48:23,207 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:48:23,207 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:48:23,207 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:48:23,207 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:48:23,207 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:48:23,207 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:53:23,346 - __main__ - INFO - [2026-03-02 08:53:23] 开始舆情数据采集...
2026-03-02 08:53:23,346 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:53:23,346 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:53:23,346 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 08:53:23,346 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:53:23,346 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:53:23,346 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:53:23,346 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:53:23,346 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:53:23,346 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:58:23,349 - __main__ - INFO - [2026-03-02 08:58:23] 开始舆情数据采集...
2026-03-02 08:58:23,351 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:58:23,351 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:58:23,351 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 08:58:23,351 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:58:23,351 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:58:23,351 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:58:23,351 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:58:23,352 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:58:23,352 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 09:03:23,494 - __main__ - INFO - [2026-03-02 09:03:23] 开始舆情数据采集...
2026-03-02 09:03:23,496 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 09:03:23,496 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 09:03:23,496 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 09:03:23,496 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 09:03:23,496 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 09:03:23,496 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 09:03:23,496 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 09:03:23,497 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 09:03:23,497 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 09:08:23,640 - __main__ - INFO - [2026-03-02 09:08:23] 开始舆情数据采集...
2026-03-02 09:08:23,642 - __main__ - INFO -   - 检查 600519.SS 的舆情...
