symbol,name,total_return,annual_return,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,volatility,var_95,beta,alpha,total_trades,win_rate,profit_factor,avg_trade
510300,沪深 300ETF,18.88411929830008,8.359075585705877,0.360784550018516,0.3915531711846668,0.47684306989016895,17.530034750491854,14.853949775373811,-1.0380815834319368,0,0,18,33.33333333333333,1.9546681455528685,980.7652809111114
510050,上证 50ETF,7.1687253254000245,3.2653723029694603,0.021283266937404156,0.022500658690396514,0.22655711334329173,14.413020429076484,12.468588762709329,-1.0496848432002739,0,0,16,37.5,1.427968855416555,447.8932803875002
515650,消费龙头 ETF,2.567554545000079,1.1835209205139474,-0.12444106109862565,-0.1186118282862639,0.058175441455295136,20.343995522980656,14.597103748949902,-0.9375541571320818,0,0,18,44.44444444444444,1.1075244851835775,142.58105436666526
588000,科创 50ETF,48.355081321000064,20.08870849303166,0.565026115639135,0.821731049350778,0.9421205853895954,21.322863341028018,30.24410380341729,-2.266359288491575,0,0,16,37.5,2.1949133473136273,3021.266436474998
510500,中证 500ETF,80.73881101320006,31.61295567234552,1.6550035005204724,2.0218712226024564,2.7603284358032822,11.452606603730416,17.288758400418608,-1.379176994936226,0,0,11,54.54545454545454,8.15735462590385,7105.539650181818
510880,红利 ETF,0.3597097807000682,0.16678220788346465,-0.2354559329075714,-0.19779872145775615,0.01547406889852921,10.778174052160068,12.03290041210692,-0.9649865727282069,0,0,15,40.0,0.8585301025352425,-121.9444772133324
512880,证券 ETF,50.98322686190012,21.071399155259396,0.8252976955506589,1.240888318821003,1.5316621485109334,13.75721086777838,21.896824930792658,-1.682990584852423,0,0,14,50.0,2.8960950352368813,3640.5450439
512000,券商 ETF,-29.2778003610999,-14.851265586379014,-0.4473094224529683,-0.28361751579192734,-0.27017479036046765,54.96910191570586,39.90809200594463,-1.6993765843615232,0,0,14,35.714285714285715,0.6459608391526663,-2090.6617673428586
512730,银行 ETF,14.823164560400082,6.625221955610838,0.29346829024694615,0.3023885658008166,0.8545671434163292,7.752722541057436,12.353027826482737,-1.2049381434600275,0,0,15,46.666666666666664,1.8065232896067753,987.8955367333326
512400,有色金属 ETF,86.79108845990011,33.640326607629945,1.1442654670737151,1.1916477966438153,1.8441522567240725,18.241621040221577,26.7772885657276,-2.2386830768431443,0,0,13,53.84615384615385,3.8164086263088204,6682.405955461538
512640,金融 ETF,9.572813412700038,4.3340922627228995,0.09101655250700853,0.09222580587379972,0.20593009151821945,21.046425176475218,14.65768836520336,-1.0655716442680558,0,0,16,31.25,1.3947987368813082,598.1031925374978
512660,军工 ETF,69.04178412250022,27.588932213348215,0.9983147326347022,1.1649871597104986,1.9274002760055038,14.31406467914682,24.63044109191331,-2.2113884084210507,0,0,13,61.53846153846154,6.302404064883344,5125.182452476924
515220,煤炭 ETF,-43.100843194099916,-23.02608266725815,-0.6707945677403907,-0.3979646077942055,-0.3934202268048398,58.52795839772743,38.7988870496201,-1.6554507316517975,0,0,17,29.411764705882355,0.2571366441319299,-2814.473871517646
512580,环保 ETF,41.578533785700245,17.511002502782212,0.7151938630709382,0.8413971797998413,1.1782008389893686,14.86249366262777,20.289607129001475,-1.516278569653587,0,0,12,50.0,3.4395125010227,3503.645055500003
516160,新能源车 ETF,86.69065825350006,33.60697446016048,1.2671301767218566,1.691193985494679,2.208740942327907,15.215444154686757,24.154562035088293,-1.8664946049741251,0,0,13,46.15384615384615,8.056309969204175,6600.282411692305
515700,新能源 ETF,57.225011332400086,23.369133582446032,0.8103577571939764,1.0449870945226292,0.9986956451186599,23.399655036714844,25.13597655062645,-2.0050101853315474,0,0,13,53.84615384615385,2.8376333485389305,4384.8655521384635
515790,光伏 ETF,60.470346695000096,24.54450867695148,0.8121033797923152,1.0907715360806587,1.4123724916553662,17.37821206655206,26.52926857964956,-2.2123416813696304,0,0,13,30.76923076923077,2.8252619821485796,2930.13779396923
